Clowder	Species	Name
UP Gate	Cat	Up-up
UP Gate	Cat	Tigger
UP Gate	Cat	Charito
UP Gate	Cat	Izzy
UP Gate	Cat	Charlie
CPark	Cat	Mady
CPark	Cat	Minca
CPark	Cat	Beans
CPark	Cat	Circle
CPark	Cat	Onion
CPark	Cat	Happee
ICOPED	Cat	Chorizo
ICOPED	Cat	Maureen
ICOPED	Cat	Aiko
ICOPED	Cat	Pedro
OUR	Cat	Corn
MSI	Cat	Buttcheeks
MSI	Cat	Ximus
MSI	Cat	Kimpy
OUR	Cat	Penguin
OUR	Cat	Ms Jackson
OUR	Cat	Mona Lisa
PhySci	Cat	Ms Minchin
PhySci	Cat	Nikko
Library	Cat	Kitten 2
Library	Cat	Kitten 1
IBS	Cat	Tulip
IBS	Cat	Tum
IBS	Cat	Blythe
IBS	Cat	Gene
IBS	Cat	Beewee
IH-GS	Cat	Snowden
IH-GS	Cat	Boris
SU	Cat	Aling Rebecca
SU	Cat	Euni
SU	Cat	Kasha
SU	Cat	Bob
SU	Cat	Latrice Meow
Baker	Cat	Hermit
Baker	Cat	Miss Baker
Baker	Cat	kitten 1 ms b
Baker	Cat	kitten 2 ms b
Baker	Cat	kitten 3 ms b
Baker	Cat	Butters
Baker	Cat	Cupcake
WRH	Cat	Simone
WRH	Cat	Sandals
WRH	Cat	Bonbon
MRH	Cat	Mother Earth
MRH	Cat	Apple Juice
MRH	Cat	Bert
MRH	Cat	Tukmol
MRH	Cat	Nenok
YMCA	Cat	Tomtom
YMCA	Cat	Rupaul
YMCA	Cat	Buttercup
CEC	Cat	Torta
CEC	Cat	Ensalada
CEC	Cat	kitten 1
CEC	Cat	kitten 2
CVM	Cat	Spam
CVM	Cat	TJ
CVM	Cat	Vienna
FC	Cat	Caca
FC	Cat	Side
FC	Cat	Calla
FC	Cat	Drake
FC	Cat	Bling
FC	Cat	Scar
FC	Cat	Marco
FC	Cat	Luan
ATI-FC	Cat	Panini Padron
ATI	Cat	Yve
ATI	Cat	Aze
ATI	Cat	Dew
FOREHA	Cat	Batchi
FOREHA	Cat	Batcha
FOREHA	Cat	Chucky
MAREHA	Cat	Makiling
FSB	Cat	Joma
FSB	Cat	Carlo
Agronomy	Cat	Roselle
CPark	Dog	Bestie
CPark	Dog	Bandit
CPark	Dog	Blackie Lou
IBS	Dog	Costa
DMST	Dog	Trigger
Baker Hall	Dog	Kiko
CEC	Dog	Chupuppy
CVM	Dog	Zindaya
FPark	Dog	Furrnando
FPark	Dog	Miss K
FPark	Dog	Johnson
FPark	Dog	Tendy
FPark	Dog	Brian
FPark	Dog	Kurdapya
FPark	Dog	Brownie
FPark	Dog	Miss Black
FPark	Dog	Tuytuy
FPark	Dog	Male 1
FPark	Dog	Female 1
Copeland	Dog	Facunda
Copeland	Dog	Kopiko Black
Copeland	Dog	Kopiko Brown
NCPC	Dog	Floof
SU	Dog	Brownie
SU	Dog	Blackie
SU	Dog	Isagani
